,GUNGU,NAME,YEAR,MONTH,KOREAN,FOREIGNER
0,중구,근대문화체험관 계산예가,2015,1,12895,0
1,중구,근대문화체험관 계산예가,2015,2,13327,0
2,중구,근대문화체험관 계산예가,2015,3,11028,0
3,중구,근대문화체험관 계산예가,2015,4,18514,0
4,중구,근대문화체험관 계산예가,2015,5,27809,0
5,중구,근대문화체험관 계산예가,2015,6,9870,0
6,중구,근대문화체험관 계산예가,2015,7,10467,0
7,중구,근대문화체험관 계산예가,2015,8,16617,0
8,중구,근대문화체험관 계산예가,2015,9,18747,0
9,중구,근대문화체험관 계산예가,2015,10,26247,0
10,중구,근대문화체험관 계산예가,2015,11,19206,0
11,중구,근대문화체험관 계산예가,2015,12,17568,0
12,중구,근대문화체험관 계산예가,2016,1,17002,0
13,중구,근대문화체험관 계산예가,2016,2,18102,0
14,중구,근대문화체험관 계산예가,2016,3,16655,0
15,중구,근대문화체험관 계산예가,2016,4,17940,0
16,중구,근대문화체험관 계산예가,2016,5,25640,0
17,중구,근대문화체험관 계산예가,2016,6,18991,0
18,중구,근대문화체험관 계산예가,2016,7,15200,0
19,중구,근대문화체험관 계산예가,2016,8,76953,0
20,중구,근대문화체험관 계산예가,2016,9,16524,0
21,중구,근대문화체험관 계산예가,2016,10,26783,0
22,중구,근대문화체험관 계산예가,2016,11,19804,0
23,중구,근대문화체험관 계산예가,2016,12,16139,0
24,중구,근대문화체험관 계산예가,2017,1,12671,0
25,중구,근대문화체험관 계산예가,2017,2,15739,0
26,중구,근대문화체험관 계산예가,2017,3,17581,0
27,중구,근대문화체험관 계산예가,2017,4,21396,0
28,중구,근대문화체험관 계산예가,2017,5,29225,0
29,중구,근대문화체험관 계산예가,2017,6,52606,0
30,중구,근대문화체험관 계산예가,2017,7,41592,0
31,중구,근대문화체험관 계산예가,2017,8,112491,0
32,중구,근대문화체험관 계산예가,2017,9,54420,0
33,중구,근대문화체험관 계산예가,2017,10,64845,0
34,중구,근대문화체험관 계산예가,2017,11,49541,0
35,중구,근대문화체험관 계산예가,2017,12,39987,0
36,중구,근대문화체험관 계산예가,2018,1,12217,0
37,중구,근대문화체험관 계산예가,2018,2,12590,0
38,중구,근대문화체험관 계산예가,2018,3,6765,0
39,중구,근대문화체험관 계산예가,2018,4,20032,0
40,중구,근대문화체험관 계산예가,2018,5,13301,0
41,중구,근대문화체험관 계산예가,2018,6,18993,0
42,중구,근대문화체험관 계산예가,2018,7,7138,0
43,중구,근대문화체험관 계산예가,2018,8,14230,0
44,중구,근대문화체험관 계산예가,2018,9,9623,0
45,중구,근대문화체험관 계산예가,2018,10,22431,0
46,중구,근대문화체험관 계산예가,2018,11,18641,0
47,중구,근대문화체험관 계산예가,2018,12,15406,0
48,중구,근대문화체험관 계산예가,2019,1,7709,0
49,중구,근대문화체험관 계산예가,2019,2,9257,0
50,중구,근대문화체험관 계산예가,2019,3,18506,0
51,중구,근대문화체험관 계산예가,2019,4,19796,0
52,중구,근대문화체험관 계산예가,2019,5,26439,0
53,중구,근대문화체험관 계산예가,2019,6,22482,0
54,중구,근대문화체험관 계산예가,2019,7,18227,0
55,중구,근대문화체험관 계산예가,2019,8,17361,0
56,중구,근대문화체험관 계산예가,2019,9,17370,0
57,중구,근대문화체험관 계산예가,2019,10,24294,0
58,중구,근대문화체험관 계산예가,2019,11,19838,0
59,중구,근대문화체험관 계산예가,2019,12,12349,0
60,중구,근대역사관,2015,1,0,0
61,중구,근대역사관,2015,2,0,0
62,중구,근대역사관,2015,3,0,0
63,중구,근대역사관,2015,4,0,0
64,중구,근대역사관,2015,5,0,0
65,중구,근대역사관,2015,6,0,0
66,중구,근대역사관,2015,7,0,0
67,중구,근대역사관,2015,8,0,0
68,중구,근대역사관,2015,9,0,0
69,중구,근대역사관,2015,10,0,0
70,중구,근대역사관,2015,11,0,0
71,중구,근대역사관,2015,12,0,0
72,중구,근대역사관,2016,1,0,0
73,중구,근대역사관,2016,2,0,0
74,중구,근대역사관,2016,3,0,0
75,중구,근대역사관,2016,4,0,0
76,중구,근대역사관,2016,5,0,0
77,중구,근대역사관,2016,6,0,0
78,중구,근대역사관,2016,7,0,0
79,중구,근대역사관,2016,8,0,0
80,중구,근대역사관,2016,9,0,0
81,중구,근대역사관,2016,10,0,0
82,중구,근대역사관,2016,11,0,0
83,중구,근대역사관,2016,12,0,0
84,중구,근대역사관,2017,1,0,0
85,중구,근대역사관,2017,2,0,0
86,중구,근대역사관,2017,3,0,0
87,중구,근대역사관,2017,4,0,0
88,중구,근대역사관,2017,5,0,0
89,중구,근대역사관,2017,6,0,0
90,중구,근대역사관,2017,7,0,0
91,중구,근대역사관,2017,8,0,0
92,중구,근대역사관,2017,9,0,0
93,중구,근대역사관,2017,10,0,0
94,중구,근대역사관,2017,11,0,0
95,중구,근대역사관,2017,12,0,0
96,중구,근대역사관,2018,1,0,0
97,중구,근대역사관,2018,2,0,0
98,중구,근대역사관,2018,3,0,0
99,중구,근대역사관,2018,4,0,0
100,중구,근대역사관,2018,5,0,0
101,중구,근대역사관,2018,6,0,0
102,중구,근대역사관,2018,7,0,0
103,중구,근대역사관,2018,8,0,0
104,중구,근대역사관,2018,9,0,0
105,중구,근대역사관,2018,10,0,0
106,중구,근대역사관,2018,11,0,0
107,중구,근대역사관,2018,12,0,0
108,중구,근대역사관,2019,1,5494,0
109,중구,근대역사관,2019,2,5842,0
110,중구,근대역사관,2019,3,7224,0
111,중구,근대역사관,2019,4,8463,0
112,중구,근대역사관,2019,5,9198,0
113,중구,근대역사관,2019,6,7831,0
114,중구,근대역사관,2019,7,5850,0
115,중구,근대역사관,2019,8,8305,0
116,중구,근대역사관,2019,9,6779,0
117,중구,근대역사관,2019,10,9971,0
118,중구,근대역사관,2019,11,8002,0
119,중구,근대역사관,2019,12,7066,0
120,중구,김광석 다시 그리기 길,2015,1,67053,0
121,중구,김광석 다시 그리기 길,2015,2,71460,0
122,중구,김광석 다시 그리기 길,2015,3,67673,0
123,중구,김광석 다시 그리기 길,2015,4,64415,0
124,중구,김광석 다시 그리기 길,2015,5,95714,0
125,중구,김광석 다시 그리기 길,2015,6,51973,0
126,중구,김광석 다시 그리기 길,2015,7,65694,0
127,중구,김광석 다시 그리기 길,2015,8,68399,0
128,중구,김광석 다시 그리기 길,2015,9,68619,0
129,중구,김광석 다시 그리기 길,2015,10,82487,0
130,중구,김광석 다시 그리기 길,2015,11,60581,0
131,중구,김광석 다시 그리기 길,2015,12,77770,0
132,중구,김광석 다시 그리기 길,2016,1,82265,0
133,중구,김광석 다시 그리기 길,2016,2,87135,0
134,중구,김광석 다시 그리기 길,2016,3,74454,0
135,중구,김광석 다시 그리기 길,2016,4,90413,0
136,중구,김광석 다시 그리기 길,2016,5,111000,0
137,중구,김광석 다시 그리기 길,2016,6,83842,0
138,중구,김광석 다시 그리기 길,2016,7,72980,0
139,중구,김광석 다시 그리기 길,2016,8,78402,0
140,중구,김광석 다시 그리기 길,2016,9,74593,0
141,중구,김광석 다시 그리기 길,2016,10,91253,0
142,중구,김광석 다시 그리기 길,2016,11,76765,0
143,중구,김광석 다시 그리기 길,2016,12,77227,0
144,중구,김광석 다시 그리기 길,2017,1,80910,0
145,중구,김광석 다시 그리기 길,2017,2,98961,0
146,중구,김광석 다시 그리기 길,2017,3,90238,0
147,중구,김광석 다시 그리기 길,2017,4,110996,0
148,중구,김광석 다시 그리기 길,2017,5,126901,0
149,중구,김광석 다시 그리기 길,2017,6,166017,0
150,중구,김광석 다시 그리기 길,2017,7,91986,0
151,중구,김광석 다시 그리기 길,2017,8,103434,0
152,중구,김광석 다시 그리기 길,2017,9,139337,0
153,중구,김광석 다시 그리기 길,2017,10,190727,0
154,중구,김광석 다시 그리기 길,2017,11,131538,0
155,중구,김광석 다시 그리기 길,2017,12,128981,0
156,중구,김광석 다시 그리기 길,2018,1,73628,0
157,중구,김광석 다시 그리기 길,2018,2,118600,0
158,중구,김광석 다시 그리기 길,2018,3,225728,0
159,중구,김광석 다시 그리기 길,2018,4,214981,0
160,중구,김광석 다시 그리기 길,2018,5,156337,0
161,중구,김광석 다시 그리기 길,2018,6,207438,0
162,중구,김광석 다시 그리기 길,2018,7,75373,0
163,중구,김광석 다시 그리기 길,2018,8,79121,0
164,중구,김광석 다시 그리기 길,2018,9,96939,0
165,중구,김광석 다시 그리기 길,2018,10,93831,0
166,중구,김광석 다시 그리기 길,2018,11,88753,0
167,중구,김광석 다시 그리기 길,2018,12,84579,0
168,중구,김광석 다시 그리기 길,2019,1,80863,0
169,중구,김광석 다시 그리기 길,2019,2,89285,0
170,중구,김광석 다시 그리기 길,2019,3,142182,0
171,중구,김광석 다시 그리기 길,2019,4,139666,0
172,중구,김광석 다시 그리기 길,2019,5,141231,0
173,중구,김광석 다시 그리기 길,2019,6,104632,0
174,중구,김광석 다시 그리기 길,2019,7,76095,0
