,GUNGU,NAME,YEAR,MONTH,KOREAN,FOREIGNER
0,서구,송도구름산책로,2015,1,0,0
1,서구,송도구름산책로,2015,2,0,0
2,서구,송도구름산책로,2015,3,0,0
3,서구,송도구름산책로,2015,4,0,0
4,서구,송도구름산책로,2015,5,0,0
5,서구,송도구름산책로,2015,6,0,0
6,서구,송도구름산책로,2015,7,0,0
7,서구,송도구름산책로,2015,8,0,0
8,서구,송도구름산책로,2015,9,0,0
9,서구,송도구름산책로,2015,10,0,0
10,서구,송도구름산책로,2015,11,0,0
11,서구,송도구름산책로,2015,12,0,0
12,서구,송도구름산책로,2016,1,0,0
13,서구,송도구름산책로,2016,2,0,0
14,서구,송도구름산책로,2016,3,0,0
15,서구,송도구름산책로,2016,4,0,0
16,서구,송도구름산책로,2016,5,0,0
17,서구,송도구름산책로,2016,6,0,0
18,서구,송도구름산책로,2016,7,0,0
19,서구,송도구름산책로,2016,8,0,0
20,서구,송도구름산책로,2016,9,0,0
21,서구,송도구름산책로,2016,10,0,0
22,서구,송도구름산책로,2016,11,0,0
23,서구,송도구름산책로,2016,12,0,0
24,서구,송도구름산책로,2017,1,0,0
25,서구,송도구름산책로,2017,2,0,0
26,서구,송도구름산책로,2017,3,0,0
27,서구,송도구름산책로,2017,4,0,0
28,서구,송도구름산책로,2017,5,0,0
29,서구,송도구름산책로,2017,6,0,0
30,서구,송도구름산책로,2017,7,0,0
31,서구,송도구름산책로,2017,8,0,0
32,서구,송도구름산책로,2017,9,0,0
33,서구,송도구름산책로,2017,10,0,0
34,서구,송도구름산책로,2017,11,0,0
35,서구,송도구름산책로,2017,12,0,0
36,서구,송도구름산책로,2018,1,0,0
37,서구,송도구름산책로,2018,2,0,0
38,서구,송도구름산책로,2018,3,0,0
39,서구,송도구름산책로,2018,4,0,0
40,서구,송도구름산책로,2018,5,0,0
41,서구,송도구름산책로,2018,6,0,0
42,서구,송도구름산책로,2018,7,0,0
43,서구,송도구름산책로,2018,8,0,0
44,서구,송도구름산책로,2018,9,0,0
45,서구,송도구름산책로,2018,10,0,0
46,서구,송도구름산책로,2018,11,0,0
47,서구,송도구름산책로,2018,12,0,0
48,서구,송도구름산책로,2019,1,136346,0
49,서구,송도구름산책로,2019,2,177854,0
50,서구,송도구름산책로,2019,3,156514,0
51,서구,송도구름산책로,2019,4,148507,0
52,서구,송도구름산책로,2019,5,175785,0
